id,県,塾名,運営会社,窓口種別,宛先,確認したページURL,営業お断り表記の有無,中学生コースの有無,教室数,一言メモ,状態
C2-001,ibaraki,つくば進学塾,,mail,jyuku@tsuku-sin.jp,https://www.tsuku-sin.jp/,無,有,,茨城県立高校の学校説明会日程のお知らせをサイトに掲載している,未着手
C2-002,ibaraki,桜ゼミナール,,mail,sakurazemi59@yahoo.co.jp,https://sakuraseminar.sakura.ne.jp/,無,有,,水戸市の塾で、冬期講習の受付開始を告知し高校受験指導にも対応と記載,未着手
C2-003,ibaraki,受験予備校常勝,常勝教育グループ吉村学院,mail,info@josyo.jp,https://josyo.jp/%E5%8F%97%E9%A8%93%E4%BA%88%E5%82%99%E6%A0%A1%E5%B8%B8%E5%8B%9D%E3%81%AE%E3%81%94%E6%A1%88%E5%86%85/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,無,有,1,ひたちなか市の塾で、中学部に「水戸一高に合格できる理由」のページと冬期講習の案内がある,未着手
C2-004,ibaraki,特伸塾,,form,https://tokushinjuku.com/contact/,https://tokushinjuku.com/contact/,無,有,,土浦市の塾で、高校受験生だけのコースでクラス授業と個別指導による高校入試対策を行うと記載,未着手
C2-005,ibaraki,学習塾 喇叭水仙,,form,https://rappasuisen.jp/contact,https://rappasuisen.jp/contact,無,有,4,神栖・鹿嶋・波崎の塾で、中3は業者テストを5～7回実施と記載,未着手
C2-006,ibaraki,専修グループ,,form,https://sensyu-grp.com/contact/,https://sensyu-grp.com/contact/,有,,,お問い合わせページに「営業関連のお問い合わせはご遠慮ください」の記載あり,除外
C2-007,saitama,WiLL（ウィル）,有限会社ウィル,mail,higashitokorozawa@will-school.co.jp,https://www.will-school.co.jp/higashitokorozawa/,無,有,3,所沢市の塾で、東所沢教室のページに「県立高校受験専門」と掲げている,未着手
C2-008,saitama,個別指導学友,,mail,snsystem@cyber.ocn.ne.jp,https://gakuyu.net/,無,有,,春日部市の塾で、受験制度改革（面談・内申書の簡素化）について解説する記載がある,未着手
C2-009,saitama,OKaBe大宮進学塾,,form,https://www.okabe-omiya-juku.jp/contact,https://www.okabe-omiya-juku.jp/contact,無,有,,さいたま市の塾で、中学生向けに「圧倒的な先取り」と「徹底的な反復」で難関高校合格を目指すと記載,未着手
C2-010,saitama,進学塾unit,,form,https://www.juku-unit.com/contact/,https://www.juku-unit.com/contact/,無,有,,川越市の塾で、2学期定期テスト勉強会の案内があり北辰テストに触れた生徒の声を掲載,未着手
