id,県,塾名,運営会社,窓口種別,宛先,確認したページURL,営業お断り表記の有無,中学生コースの有無,教室数,一言メモ,状態
C3-001,gunma,前橋ゼミ,株式会社H.Y.T.,form,https://maezemi.com/contact/,https://maezemi.com/contact/,無,有,8,中学生向けの「個別Lab＋」コースがあり、新前橋駅前校と高崎駅西口校は中学生・高校生のみの教室と記載(前橋市),未着手
C3-002,gunma,武蔵進学教室,,mail,musashi-shingaku@outlook.jp,https://www.musashishingaku.com/,無,有,1,中3クラスを月・木の20:00～22:30に開講と授業料表に記載(伊勢崎市),未着手
C3-003,gunma,星野進学ゼミ,,form,https://www.hoshinoshingakuzemi.jp/pages/4/,https://www.hoshinoshingakuzemi.jp/,無,有,2,中3向け「トップ高校上位合格講座」(5教科・全12回の特訓)がある(太田市),未着手
C3-004,gunma,次世代型超個別塾Genesis,株式会社グリフエデュケーション,form,https://genesis-juku.com/contact/,https://genesis-juku.com/,無,有,2,中学生コースは学校の内容から高校受験まで対応し、県内トップレベルの進学校合格者も出したと記載(沼田校・高崎校),未着手
C3-005,gunma,うすい学園,株式会社うすい,form,https://ac.usuigakuen.co.jp/inquiry,https://usuigakuen.co.jp/about/,無,有,20,中学部に定期テスト対策・入試対策・入試情報のページがある(高崎・前橋・伊勢崎・太田など20校以上),未着手
C3-006,gunma,適塾,,form,http://www.tekijuku.info/10-contact.php,http://www.tekijuku.info/10-contact.php,有,,,お問い合わせフォームに「営業目的のご利用はご遠慮ください」の記載あり,除外
C3-007,gunma,慎塾,,form,https://maebashi-shinjuku.jp/contact/,https://maebashi-shinjuku.jp/contact/,有,,,お問い合わせフォームに「企業様からの営業メールはご遠慮ください」の記載あり(前橋市),除外
C3-008,kumamoto,はち塾,,mail,info@hachijuku.com,https://hachijuku.com/,無,有,1,トップページに「八代市の個別指導 学習塾。高校生 中学生向け。」と記載(八代市),未着手
C3-009,kumamoto,明成塾,,form,https://meisei-juku.net/inquiry/,https://meisei-juku.net/,無,有,1,サイトに「熊高 済々黌 第一 第二 高専合格指導の明成塾です」と記載(熊本市西区),未着手
C3-010,kumamoto,少人数指導塾テラス サクラマチ校,株式会社Terrace,mail,info@terrace-kmc.com,https://www.terrace-kmc.com/company,無,有,1,中学生コースのページに「定期テストから入試まで幅広く対応」と記載(熊本市),未着手
C3-011,kumamoto,さくらゼミナール,,form,https://sakura-seminar.com/contact/,https://sakura-seminar.com/,無,有,2,中3を含む定期テストの順位・点数アップの生徒事例を掲載(むさし校・ましき校),未着手
C3-012,kumamoto,DOゼミナール,有限会社エイペックス,form,https://do-semi.jp/s-contact/,https://do-semi.jp/,無,有,9,トップページに中学生向けの通常講座・テスト対策会・無料の定期テスト対策の案内がある(福岡6・熊本3校舎、本社は玉名市),未着手
C3-013,kumamoto,熊本ゼミナール,熊本ゼミナール株式会社,form,,https://www.kumazemi.jp/company/,無,有,,「公立高校受験コース」がある。ただし会社概要ページの資料請求・お問い合わせはLINE経由のリンクのみで、メールアドレスや通常フォームを確認できていない,要確認
C3-014,shizuoka,ユリイカ進学教室,,form,https://www.schooleureka.jp/contact/,https://www.schooleureka.jp/,無,有,1,「二週間ほど前から定期テスト対策授業」を行うと記載(静岡市葵区),未着手
C3-015,shizuoka,With学習塾,WITH HARMONICS,form,https://www.withgakushujuku.com/contact,https://www.withgakushujuku.com/,無,有,5,「学調や高校受験の対策は、この夏休みの過ごし方がカギになります」と案内(島田・掛川・焼津・静岡の5教室),未着手
C3-016,shizuoka,STUDY BASE,,form,https://study-base.jp/contact/,https://study-base.jp/contact/,無,有,,問い合わせ項目に「目標としている進学先の合格点数や内申点の目安を知りたい」がある(富士市),未着手
C3-017,shizuoka,沼津進学塾,,form,https://numashin-jyuku.com/contact/,https://numashin-jyuku.com/,無,有,2,「内申点対策から始め、高校入試や高校入学後に対応できる基礎学力の定着を図る」と記載(沼津市・清水町),未着手
C3-018,shizuoka,弘友私塾,kouyushi-juku Co.Ltd,form,https://www.kou-yu.jp/contact/,https://www.kou-yu.jp/,無,有,,公立中学の定期テスト・学力調査テストが難化していると説明し、問い合わせ欄の学年に中1～中3がある(静岡市),未着手
C3-019,shizuoka,まながく,株式会社スタディーネットワーク,form,https://managaku-juku.com/form02/,https://managaku-juku.com/,,,6,浜松市の個別指導塾。トップページから案内される form02 のフォームは文字化けして用途(問い合わせか資料請求か)を確認できていない,要確認
C3-020,shizuoka,修学館,,form,https://shuugakukan.com/contact/,https://shuugakukan.com/contact/,有,,,お問い合わせフォームに「営業・提案・勧誘等の目的での利用は固く禁止」の記載あり(静岡市),除外
